concept_id,concept_name,Keep,hx
37312020,Cardiac syncope,0,na
4117108,Caregiver stress syndrome,0,na
433996,Catatonic schizophrenia,1,schizo
434332,Catatonic schizophrenia in remission,1,schizo
4100666,Change in personality,0,na
4284848,Character trait finding,0,na
4120421,Character trait finding of affective stability,0,na
4113486,Character trait finding of empathic sensitivity,0,na
4116271,Character trait finding of impulse control,0,na
4103748,Charles Bonnet syndrome,1,psychosis
440086,Child attention deficit disorder,0,na
4151722,Childhood disinhibited attachment disorder,0,na
441535,Childhood disintegrative disorder,0,na
433758,Childhood emotional disorder,0,na
4100101,Childhood or adolescent disorder of social functioning,0,na
439005,Chronic alcoholism in remission,0,na
4098314,Chronic anxiety,1,anxiety
4001733,"Chronic bipolar II disorder, most recent episode major depressive",1,bipolar
441538,Chronic catatonic schizophrenia,1,schizo
4103574,Chronic depression,1,depression
40481798,Chronic depressive personality disorder,0,na
440368,Chronic disorganized schizophrenia,1,schizo
436385,Chronic disorganized schizophrenia with acute exacerbation,1,schizo
40482661,Chronic hypomanic personality disorder,0,na
435235,Chronic latent schizophrenia,1,schizo
4031328,"Chronic major depressive disorder, single episode",1,depression
4134596,Chronic mental disorder,0,na
762060,Chronic mood disorder,0,na
375221,Chronic motor tic disorder,0,na
4144146,Chronic organic mental disorder,0,na
436944,Chronic paranoid schizophrenia,1,schizo
443414,Chronic post-traumatic stress disorder,1,PTSD
4094358,Chronic recurrent major depressive disorder,1,depression
436673,Chronic residual schizophrenia,1,schizo
435218,Chronic residual schizophrenia with acute exacerbations,1,schizo
441835,Chronic schizoaffective schizophrenia,1,schizo
435782,Chronic schizophrenia,1,schizo
4138454,Chronic stress disorder,1,anxiety
4105330,Chronic undifferentiated schizophrenia,1,schizo
4250625,Chronic vocal tic disorder,0,na
36676440,CK syndrome,0,na
4058397,Claustrophobia,0,na
4164633,Clouded consciousness,0,na
4043918,Cluster A personality disorder,0,na
4181019,Cluster B personality disorder,0,na
4222618,Cluster C personality disorder,0,na
4290062,Cocaine delirium,0,na
4148140,Cocaine delusional disorder,0,na
4101256,Cocaine intoxication,0,na
4216493,Cocaine withdrawal,0,na
4198826,Cocaine-induced anxiety disorder,0,na
4012869,Cocaine-induced mood disorder,0,na
4264766,Cocaine-induced organic mental disorder,0,na
4272033,Cocaine-induced psychotic disorder with hallucinations,0,na
